"@title","thai"
"#00045","มีเหงือกและเจ็บคออยู่เสมอ"
"#00046","แมนนี่ กู๊ดดรอว์"
"#00047","ต้องการวาดการ์ตูน 100 เรื่อง"
"#00048","เชลดอน พีล"
"#00049","แชมป์การปอกเปลือกถั่วลิสง"
"#00050","เป็ดน้ำหนาม"
"#00051","บันทึกสถิติโลกเบ็ด-อะ-ดั๊ก"
"#00052","พีชเมเปิล"
"#00053","ชอบฤดูร้อน อาหารในฤดูใบไม้ร่วง"
"#00054","ลีอาห์ ดาวินชี่"
"#00055","ชอบวาดรูปด้วยหมึก"
"#00056","มิลกี้ เพย์น"
"#00057","ยอดเยี่ยมในการช็อปปิ้งริมหน้าต่าง"
"#00058","ดิลล์ เกอร์กิน"
"#00059","ทำผักดองของเธอเอง"
"#00060","คลอเดีย โมเนต์"
"#00061","สุดยอดวิชาศิลปะของเธอ"
"#00062","เป๊ปป้าลาย"
"#00063","แชมป์โลกด้านผมเปีย"
"#00064","ป๊อปปี้สตาร์"
"#00065","อยากเป็นป๊อปสตาร์"
"#00066","ดอนน่านัท"
"#00067","ชอบโดนัทมากกว่าวาฟเฟิล"
"#00068","เมเซนธันเดอร์"
"#00069","วิ่ง 50 เมตรใน 7 วินาที"
"#00070","อาร์เทมิส เชด"
"#00071","สนทนาผ่านศิลปะเงา"
"#00072","แซลลี่ต้าหลี่"
"#00073","ศิลปินภาพเหมือนพาร์ทไทม์"
"#00074","เจย์ ซี. โบนส์"
"#00075","ทำงานบ้านไม่เก่ง"
"#00076","สถานที่ล็อตตา"
"#00077","เคยอาศัยอยู่ในแอฟริกาและอินเดีย"
"#00078","แกบบี้ แชตสัน"
"#00079","คุยกับคนอื่นเก่ง"
"#00080","ฟาราห์ ถอนรากถอนโคน"
"#00081","อยากอยู่ต่างประเทศ"
"#00082","ลิซ่า เลิฟดรอว์"
"#00083","อยากเป็นนักเขียนการ์ตูน"
"#00084","ขนาดX.R."
"#00085","ไปยิมบ่อยๆ"
"#00086","คีน ชาร์ป"
"#00087","ว่ากันว่ามีประสาทสัมผัสที่น่าอัศจรรย์"
"#00088","พาเมลา ปิกัสโซ"
"#00089","บัณฑิตโรงเรียนศิลปะ"
"#00090","วินนี่คาร์ก็อท"
"#00091","วาดมาตั้งแต่เด็ก"
"#00092","ไคโรบ็อต"
"#00093","หุ่นยนต์โบราณและลึกลับ"
"#00094","ชิมแปนซี"
"#00095","จบการศึกษาจากมังงะ MIT"
"#00096","แพน ดี แบร์"
"#00097","ทำงานให้กับศิลปินที่มีชื่อเสียง"
"#00098","อดิสา โอเคเกะ"
"#00099","นกเจี๊ยบ"
"#00100","โมนิก้า แบล็ค"
"#00101","แอรอน โครม"
"#00102","โคดี้ตีนฮิลล์"
"#00103","เกาะทอรัส"
"#00104","ไฮดี้ เลเวลเฮด"
"#00105","เทย์เคลียร์วอเตอร์"
"#00106","เซโตะ โอชิมะ"
"#00107","แมคเคนซี่สการ์"
"#00108","คริส ชาเปล"
"#00109","เร็ก บร็อคโคลี่"
"#00110","โล ราเลน"
"#00111","แซม ฟลิม"
"#00112","มิกะ เห็นแก่ตัว"
"#00113","ซิด นากาโมโตะ"
"#00114","จิม ปาน"
"#00115","คุก กูดา"
"#00116","เอริก้า บลูม"
"#00117","มอคคาซากะ"
"#00118","เรนเหนือ"
"#00119","แอปเปิ้ล เลิฟกู๊ด"
"#00120","เซ็บ คอเครน"
"#00121","การ์ตูนการต่อสู้"
"#00122","การ์ตูนที่เน้นการต่อสู้<br>และยุทธวิธี"
"#00123","การ์ตูนอารมณ์"
"#00124","การ์ตูนที่มีจุดมุ่งหมายเพื่อกระตุ้นอารมณ์<br>และทำให้ผู้คนหัวเราะหรือร้องไห้"
"#00125","การ์ตูนลึกลับ"
"#00126","มังงะที่ลึกซึ้งที่สร้าง<br>และทำให้ผู้อ่านตกใจ"
"#00127","การ์ตูนเรื่องจริง"
"#00128","การ์ตูนที่แสดงความจริง<br>เหตุการณ์ในโลกแห่งความเป็นจริง"
"#00129","การ์ตูนดราม่า"
"#00130","มังงะที่มีเสน่ห์เฉพาะตัวที่พยายาม<br>แสดงออกถึงความสมจริงผ่านงานศิลปะ"
"#00131","การ์ตูนคลาสสิก"
"#00132","การ์ตูนที่เขียนด้วย<br>เรื่องราวที่ทุกคนชื่นชอบ"
"#00133","การ์ตูนเทพนิยาย"
"#00134","การ์ตูนที่เต็มไปด้วย<br>ความฝันและจินตนาการ"
"#00135","การ์ตูนโรแมนติก"
"#00136","การ์ตูนเรื่องความรักที่เน้น<br>ธรรมชาติของความสัมพันธ์ของมนุษย์"
"#00137","การ์ตูนสยองขวัญ"
"#00138","การ์ตูนสยองขวัญที่มีจุดมุ่งหมายเพื่อให้<br>ผู้อ่านลังเลที่จะพลิกหน้า"
"#00139","การ์ตูนรอมคอม"
"#00140","การ์ตูนที่ผสมผสานกันอย่างลงตัว<br>ระหว่างความรักและเสียงหัวเราะ"
"#00141","การ์ตูน4แผง"
"#00142","เล่าเรื่องตลกใน 4 ภาพ: บทนำ;<br>การพัฒนา; มุกไลน์; บทสรุป"
"#00143","การ์ตูนล้อเลียน"
"#00144","การ์ตูนที่มุ่งที่จะพลิกเทรนด์ปัจจุบัน<br>บนหัวของพวกเขา"
"#00145","การ์ตูนเรื่องอบอุ่นหัวใจ"
"#00146","มังงะแสนอบอุ่นที่มีจุดมุ่งหมาย<br>นำรอยยิ้มอันอ่อนโยนมาสู่ใบหน้าของผู้อ่าน"
"#00147","การ์ตูนไร้สาระ"
"#00148","มังงะที่ไม่ซ้ำใครที่ทำให้หัวเราะ<br>จากสิ่งที่แปลกประหลาดที่สุด"
"#00149","การ์ตูนแก๊กสุดคลาสสิก"
"#00150","การ์ตูนที่เขียนด้วย<br>แนวตลกขบขันที่ทุกคนชื่นชอบ"
"#00151","เปรี้ยวจี๊ด"
"#00152","การ์ตูนแนวโปรเกรสซีฟใน<br>เปรี้ยวจี๊ด"
"#00153","ห้องเรียน"
"#00154","อพาร์ทเม้นท์"
"#00155","บ้าน"
"#00156","สนามกีฬา"
"#00157","สำนักงาน"
"#00158","ทะเลเปิด"
"#00159","เมือง"
"#00160","ธรรมชาติ"
"#00161","ญี่ปุ่นโบราณ"
"#00162","ตราด ญ.ญ."
"#00163","เจดีย์"
"#00164","โรงแรม"
"#00165","ห้องน้ำ"
"#00166","โลก"
"#00167","ซากปรักหักพัง"
"#00168","ยุคหิน"
"#00169","คุก"
"#00170","เกาะ"
"#00171","วอร์โซน"
"#00172","ก่อนประวัติศาสตร์"
"#00173","ศักดินา Jpn"
"#00174","VR"
"#00175","อวกาศ"
"#00176","ญี่ปุ่นสมัยใหม่"
"#00177","ยุโรป"
"#00178","ป่าตะวันตก"
"#00179","อนาคต"
"#00180","Alt. โลก"
"#00181","เอสเอฟ"
"#00182","วิทยาเขต"
"#00183","ปัจจุบัน"
"#00184","โลกแฟนตาซี"
"#00185","ไคโรคอร์ป"
"#00186","คาราเต้"
"#00187","มัธยมปลาย"
"#00188","การทำอาหาร"
"#00189","ผี"
"#00190","คู่แข่ง"
"#00191","แม่มด"
"#00192","ครอบครัว"
"#00193","แมลง"
"#00194","น่ารัก"
"#00195","สัตว์ประหลาด"
"#00196","บาสเกตบอล"
"#00197","เทนนิส"
"#00198","เลขา"
"#00199","คอมพิวเตอร์"
"#00200","พวกเนิร์ด"
"#00201","แข่งรถ"
"#00202","ป๊อปสตาร์"
"#00203","การ์ตูน"
"#00204","พวกอันธพาล"
"#00205","สายลับ"
"#00206","นักดับเพลิง"
"#00207","ซูโม่"
"#00208","กีฬา"
"#00209","ฟุตบอล"
"#00210","เบสบอล"
"#00211","ตกปลา"
"#00212","ม้า"
"#00213","ธุรกิจ"
"#00214","การเมือง"
"#00215","ของเล่น"
"#00216","มังกร"
"#00217","เอกลักษณ์"
"#00218","สัตว์"
"#00219","ขุนนาง"
"#00220","เซ็กซี่"
"#00221","เวทย์มนตร์"
"#00222","ซามูไร"
"#00223","ความรัก"
"#00224","ลูกเล่น"
"#00225","หมอ"
"#00226","โจร"
"#00227","ปีศาจ"
"#00228","พลซุ่มยิง"
"#00229","นักสืบ"
"#00230","เบบี๋"
"#00231","แบดบอย"
"#00232","หูแมว"
"#00233","แอนดรอยด์"
"#00234","เอเลี่ยน"
"#00235","เยาวชน"
"#00236","การพนัน"
"#00237","ค่าภาคหลวง"
"#00238","การสอน"
"#00239","หุ่นยนต์"
"#00240","ตำรวจ"
"#00241","อัจฉริยะ"
"#00242","ชุดชั้นใน"
"#00243","พวกแก"
"#00244","ความลึกลับ"
"#00245","สมบัติ"
"#00246","นินจา"
"#00247","ความฝัน"
"#00248","โจรสลัด"
"#00249","เจ้าหญิง"
"#00250","ผจญภัย"
"#00251","เจ้าชาย"
"#00252","หุ่นยนต์ยักษ์"
"#00253","อาณาจักรโลก"
"#00254","สันติภาพโลก"
"#00255","ชิมแปนซี"
"#00256","คุณได้รับอุปกรณ์บางอย่างแล้ว"
"#00257","The Funny Pages ฉบับใหม่ออกมาแล้ว"
"#00258","ตอบรับคำขอวาดโปสเตอร์ไหม <br> เวลา: 8 ชม. พลังงาน: -8"
"#00259","ยอมรับคำขอรีทัช<br>หน้าบางส่วนหรือไม่<br> เวลา: 8 ชม. พลังงาน: - 8"
"#00260","ตอบรับคำขอวาดโบนัส<br>หน้า?<br> เวลา: 8h PP: - 8"
"#00261","ตอบรับคำขอวาด<br>ปัญหาพิเศษ?<br> เวลา: 8 ชม. พลังงาน: -10"
"#00262","ยอมรับคำขอทำสีเต็ม<br>กระจายตรงกลางไหม<br> เวลา: 12 ชม. พลังงาน - 12"
"#00263","ยอมรับคำขอวาด<br>หน้าแนะนำแบบเต็มสีไหม<br> เวลา: 15 ชม. พลังงาน: -20"
"#00264","ยอมรับคำขอให้ออกแบบวิดีโอ<br>ตัวละครในเกม?<br> เวลา: 24 ชม. พลังงาน: -25"
"#00265","ยอมรับคำขอให้ออกแบบใหม่<br>ธงประจำชาติ?<br> เวลา: 18 ชม. พลังงาน: -30"
"#00266","ยอมรับคำขอให้ผลิต<br>ต้นฉบับสีสมบูรณ์หรือไม่<br> เวลา: 30 ชม. พลังงาน: -35"
"#00267","คุณจะสัมภาษณ์นิตยสารไหม"
"#00268","คุณจะสัมภาษณ์ทางทีวีไหม"
"#00269","คุณต้องการแต่งนิยาย<br><2>หรือไม่"
"#00270","คุณต้องการเปลี่ยน <br><2><br>เป็นละครวิทยุไหม"
"#00271","ทำหนังสือศิลปะสำหรับ<br><2>?"
"#00272","ขายสินค้าจาก <2>?"
"#00273","ขาย <2> ต่างประเทศ?"
"#00274","ทำให้ <2> เป็นสถานที่ท่องเที่ยวตามธีม<br>ไหม"
"#00275","สร้างของเล่นจาก<br><2>?"
"#00276","สร้าง <2> ให้เป็น<br>อนิเมะ?"
"#00277","ทำให้ <2> เป็น<br>ละครทีวี?"
"#00278","ทำให้ <2> เป็น<br>ภาพยนตร์?"
"#00279","เผยแพร่ชีวประวัติ?"
"#00280","ทำให้ <2> กลายเป็น<br>หนังดังของฮอลลีวูด?"
"#00281","คุณมีแฟนเมล์แล้ว!"
"#00282","ยังมีงานให้ทำอีกมาก...<br>วาดต่อไปไหม"
"#00283","คุณได้รับแต้มโครงเรื่องแล้ว"
"#00284","ยอมรับคำขอเพื่อให้ผู้อ่าน<br>มีส่วนร่วม?<br>เวลา: 12 ชม. พลังงาน: -10"
"#00285","ตอบรับคำขอให้เขียนเรื่อง<br>ตลกให้แฟนๆ ฟังไหม<br>เวลา: 12 ชม. พลังงาน: -12"
"#00286","ยอมรับคำขอให้นำ<br>แปลงร่างเก่ากลับมาหรือไม่<br>เวลา: 12 ชม. พลังงาน: -14"
"#00287","ตอบรับคำขอวาด<br>แฟนเซอร์วิสบ้างมั้ย<br>เวลา: 16 ชม. พลังงาน: -14"
"#00288","ตอบรับคำขอให้เขียนอะไรบางอย่าง<br>มุ่งเป้าไปที่เด็กๆ<br>เวลา: 16 ชม. พลังงาน: -16"
"#00289","ยอมรับคำขอให้เขียนส่วนปิดปากไหม<br>เวลา: 16 ชม. พลังงาน: - 20"
"#00290","ยอมรับคำขอเปลี่ยน<br>ตัวละครไหม <br>เวลา: 20 ชม. พลังงาน: -22"
"#00291","ยอมรับคำขอให้รวม<br>ส่วนโค้งการแข่งขันหรือไม่<br>เวลา: 20 ชม. พลังงาน: -25"
"#00292","ยอมรับคำขอให้<br>คู่แข่งสองคนร่วมมือกันไหม<br>เวลา: 24 ชม. พลังงาน: -30"
"#00293","ตอบรับคำขอชุบชีวิต<br>ตัวละคร?<br>เวลา: 24 ชม. พลังงาน: -35"
"#00294","คุณได้รับ 15 แต้มโครงเรื่อง"
"#00295","คุณได้รับคะแนนพล็อต 30 แต้ม"
"#00296","คุณได้รับ 50 แต้มแผน"
"#00297","คุณได้รับคะแนนพล็อต 100 คะแนน"
"#00298","คุณได้รับเงิน 200G"
"#00299","คอมโบที่น่าทึ่ง! นี่จะเป็นผลงานชิ้นเอก!"
"#00300","ผสมผสานกันอย่างลงตัว สู้ต่อไป!"
"#00301","โอเค คอมโบ... บางทีคุณควรพยายามให้มากกว่านี้..."
"#00302","คอมโบแย่มาก... มังงะเรื่องนี้แย่ที่สุด..."
"#00303","<2> ขายดีมาก!"
"#00304","Art block! ผลงานลดลงอย่างมาก!"
"#00305","ไม่มีความกระตือรือร้น... ความคืบหน้าของมังงะได้ช้าลง"
"#00306","หมึกหก <br>อัตราการจบมังงะลดลง"
"#00307","ฉีกกระดาษขณะใช้ยางลบ <br>ฉันต้องวาดใหม่..."
"#00308","มังงะที่คล้ายกับ <1> กำลังลดราคา <br>ความนิยมในซีรีส์ของคุณลดลง"
"#00309","<2> อันดับลดลง <br>แฟนๆ หมดความสนใจ"
"#00310","ได้รับรางวัล <3>! <br>ได้รับ <4>!"
"#00311","ได้รับ <4>G สำหรับการสัมภาษณ์"
"#00312","ได้รับ <4>ค่าธรรมเนียมสัญญา G"
"#00313","ได้รับรางวัล <3>! <br>ได้รับ <4>!"
"#00314","รางวัลอันดับสูงสุด!"
"#00315","อันดับสูงสุดของชาร์ตรายได้!"
"#00316","ชนะรางวัลภาพยนตร์อนิเมะ!"
"#00317","ฉันเป็นหวัด... สิ่งนี้จะทำให้ความคืบหน้าของฉันช้าลง"
"#00318","ฉันตื่นเต้นมาก! กำลังไปได้สวย!"
"#00319","ตัวละครไม่ค่อยถูกใจเท่าไหร่นะ..."
"#00320","กระดานเรื่องราวเหล่านี้น่าเบื่อมาก...zzz"
"#00321","เรื่องนี้ไม่ธรรมดามาก..."
"#00322","นี่ดูเหมือนสุนัขวาดนะ"
"#00323","ตัวละครพวกนี้เท่มาก!"
"#00324","เรื่องนี้น่าติดตาม!"
"#00325","ศิลปะควรอยู่ในพิพิธภัณฑ์!"
"#00326","การ์ตูนเรื่องนี้เป็นต้นฉบับจริงๆ!"
"#00327","การ์ตูนเรื่องนี้เข้ากันได้ดีจริงๆ!"
"#00328","การ์ตูนของคุณเป็นอันดับ 1 ในชาร์ตความนิยม!"
"#00329","สวัสดี!"
"#00330","เรียน <1>;"
"#00331","ฉันเป็นแฟนตัวยงตั้งแต่อ่าน <4>"
"#00332","ขอบคุณที่เขียนการ์ตูนเรื่องเยี่ยมมาโดยตลอด"
"#00333","ฉันช่วยตัวเองไม่ได้ ฉันต้องเขียนจดหมายถึงคุณ"
"#00334","ฉันได้การ์ตูนของคุณแล้ว <6>; ในร้านหนังสือในท้องถิ่นของฉัน และฉันน้ำตาไหล!"
"#00335","<1> สวัสดี!"
"#00336","ฉันชอบอ่านเสมอ <3>!"
"#00337","เมื่อฉันซื้อรวมการ์ตูน ฉันมักจะตัด <2> และทิ้งที่เหลือทิ้งไป!"
"#00338","ฉันตัดหน้าของ <2> ออกจากนิตยสารและสร้างการ์ตูนส่วนตัวของฉันเอง!"
"#00339","<1>; ฉันเพิ่งอ่านการ์ตูนของคุณจบไป 1 ช็อต และ... ฉันชอบมัน!"
"#00340","ขอบคุณสำหรับการทำงานที่ยอดเยี่ยมเช่นนี้เสมอมา"
"#00341","ฉันอ่านว่า <6> วันแรกที่ปล่อยออกมา!"
"#00342","ฉันอ่านการ์ตูนของ <1> ก่อนนอนเสมอ"
"#00343","ฉันยังแนะนำการ์ตูนของคุณ <6>; ให้ทุกคนในชั้นเรียนของฉันเมื่อวันก่อน!"
"#00344","ฉันชอบอ่านการ์ตูนเรื่องของคุณมากเวลาเข้าห้องน้ำ!"
"#00345","เพื่อนของฉันแนะนำฉันให้รู้จักกับมังงะของคุณครั้งแรก และฉันก็เพิ่งเริ่มอ่าน <6> วางไม่ลง!"
"#00346","ฉันเป็นนักเรียนมัธยมต้นที่อดไม่ได้ที่จะสัมผัสถึงเสน่ห์ของการ์ตูนของคุณ ฉันอ่าน <2> ทุกสัปดาห์โดยไม่ล้มเหลว!"
"#00347","ฉันเป็นพนักงานออฟฟิศ และเป็นผู้หญิงที่รักนิตยสารทุกประเภท แต่เหนือสิ่งอื่นใด ฉันชอบการ์ตูนของคุณ <6>; มากที่สุด"
"#00348","ปกติฉันไม่ได้เขียนจดหมายถึงแฟน แต่หลังจากอ่าน <6> ฉันแค่ต้องเขียนถึงคุณ!"
"#00349","ปกติฉันไม่ได้เขียนจดหมายถึงแฟน แต่หลังจากอ่าน <2> ฉันแค่ต้องเขียนถึงคุณ!"
"#00350","เมื่อวานฉันหมดกระดาษชำระและหมดหวังใช้มังงะของฉันทุกหน้าเพื่อเช็ดฉุกเฉิน...ยกเว้นของคุณ!"
"#00351","บนรถไฟเมื่อวันก่อน ฉันเห็นคนมากมายอ่านการ์ตูนของคุณ มันทำให้ฉันมีความสุขมาก!"
"#00352","ฉันแนะนำแม่ของฉันให้รู้จักกับการ์ตูนของคุณ และตอนนี้เธอก็เป็นแฟนกันแล้ว! ครอบครัวของฉันกำลังอ่านการ์ตูนของคุณอยู่!"
"#00353","ฉันรักการ์ตูน <9> และการ์ตูนอื่นๆ ทุกประเภทด้วย... แต่แน่นอนว่าฉันรักการ์ตูนของคุณที่สุด <1>!"
"#00354","เรื่องราวดีมาก มันทำให้ฉันหัวเราะได้เสมอ"
"#00355","ฉันหวังว่าชุดต่อไปของคุณจะได้รับการเผยแพร่ในเร็วๆ นี้ ฉันหวังว่าจะได้อ่าน"
"#00356","หลังจากอ่านตอนสุดท้ายแล้ว สะเทือนใจมาก หยุดร้องไห้ไม่ได้เลย!"
"#00357","การ์ตูน <7> นั้นยอดเยี่ยมมาก!"
"#00358","มังงะ <8> เจ๋งมาก!"
"#00359","ฉันคิดว่าฉากของมังงะ <7> นั้นยอดเยี่ยมมาก!"
"#00360","ฉันคิดว่าฉากของการ์ตูน <8> นั้นยอดเยี่ยมมาก!"
"#00361","ฉันรู้สึกประทับใจกับความสง่างามของมังงะ <7>"
"#00362","เนื้อหาของมังงะ <7> ดีที่สุด!"
"#00363","เนื้อหาของมังงะ <8> ดีที่สุด!"
"#00364","ไม่ต้องสงสัยเลย มังงะ <10> ของคุณดีที่สุด"
"#00365","เคยโฆษณา"
"#00366","อนิเมะที่ดัดแปลงได้ยอดเยี่ยมมาก"
"#00367","การดัดแปลงภาพยนตร์ยอดเยี่ยมมาก"
"#00368","ฉันเป็นนักเรียนม.ปลายที่รู้สึกได้ถึงเสน่ห์ของการ์ตูนคุณอย่างช่วยไม่ได้"
"#00369","=#00355"
"#00370","ปกติฉันไม่ได้เขียนจดหมายถึงแฟน แต่ฉันรู้สึกว่านี่เป็นเวลาที่เหมาะสมที่สุดที่จะยกเว้น"
"#00371","<1>; ตั้งแต่วินาทีแรกที่ฉันเห็นการ์ตูนอันงดงามของคุณ ฉันตกหลุมรัก! ฉันคิดว่าฉันจะเป็นแฟนตัวยงของคุณตลอดไป"
"#00372","ตอนที่ฉันอยู่ร้านทำผม ฉันหมกมุ่นอยู่กับการ์ตูนของคุณมากจนไม่ได้สังเกตด้วยซ้ำว่าผมโกนหมดแล้ว!"
"#00373","ฉันหวังว่าชุดนี้จะไม่จบ"
"#00374","วาดรูปต่อไป!"
"#00375","ดูแลตัวเองด้วย และทำการ์ตูนเรื่องเจ๋งๆ ต่อไป!"
"#00376","โปรดเขียนต่อไปและสร้างอีก 1,000 บท!"
"#00377","ฉันตั้งหน้าตั้งตารอตอนต่อไป"
"#00378","ฉันชอบการ์ตูนของคุณมาก!"
"#00379","ฉันเจอหนังสือเรียนการ์ตูนเล่มนี้อยู่ข้างถนน ฉันอยากให้เธอมีเล่มนี้!"
"#00380","ฉันพบเอกสารอ้างอิงนี้วางอยู่รอบๆ บ้านของฉัน ดังนั้นถ้าคุณต้องการ โปรดเตรียมมันมา!"
"#00381","ฉันพบหนังสือเล่มนี้ที่บรรพบุรุษของฉันเป็นเจ้าของในห้องใต้ดินของฉัน โปรดเอาไปด้วย"
"#00382","ฉันคิดว่าฉันจะเป็นแฟนตัวยงของคุณตลอดไป เขียนต่อไป!"
"#00383","ตื่นเต้นจริงๆ ตั้งตารอตอนต่อไปเลย!"
"#00384","คุณรู้ไหม ครั้งแรกที่ฉันอยากให้เรื่องราวดำเนินต่อไปคือหลังจากอ่านการ์ตูนเรื่องเดียวของคุณจบ ดังนั้น ขอบคุณ ฉันส่งหนังสือให้คุณแล้ว โปรดใช้เป็นข้อมูลอ้างอิง!  "
"#00385","นี่เป็นครั้งแรกที่ฉันชอบอะไรมาก! ฉันตั้งตารอวันที่คุณจะเป็นชื่อคนในครอบครัว"
"#00386","งานพาร์ทไทม์"
"#00387","ยานอวกาศ"
"#00388","เดินทางไปต่างประเทศ"
"#00389","อยู่อาศัย"
"#00390","ชายหาด"
"#00391","เหรียญกษาปณ์"
"#00392","ร้านอุปกรณ์"
"#00393","=#00156"
"#00394","สวนสนุก"
"#00395","บริษัทเกม"
"#00396","สวนสัตว์"
"#00397","ห้างสรรพสินค้า"
"#00398","ไซต์ก่อสร้าง"
"#00399","พิพิธภัณฑ์"
"#00400","ร้านอาหาร"
"#00401","แกลเลอรี่"
"#00402","ห้องสมุด"
"#00403","งานการ์ตูน"
"#00404","The Manga Works<br>เกมนี้เป็นเกมจำลองการวาดการ์ตูนของศิลปินมังงะที่จะติดตามคุณสู่เส้นทางสู่ความยิ่งใหญ่<br>กว่า 5 ปี เป้าหมายของคุณคือการเติบโตและก้าวหน้าจากนักวาดการ์ตูนเรื่องเล็กๆ ไปสู่การ์ตูนชื่อดัง  ศิลปินและพยายามที่จะชนะรางวัลของผู้จัดพิมพ์ทั้งหมด<br>ต่อสู้เพื่อไต่อันดับและกลายเป็นศิลปินการ์ตูนอันดับหนึ่ง!"
"#00405","กระแสเกม"
"#00406","▼กระแสเกม<br>ก่อนอื่น มาวาดการ์ตูนกันเถอะ เลือกธีมและฉากที่คุณคิดว่าเข้ากันได้ดี จากนั้นคุณก็จะวาดการ์ตูนที่ยอดเยี่ยมได้<br>ส่งการ์ตูนของคุณไปเผยแพร่  บริษัทและทำข้อตกลงที่ดีกับผู้จัดพิมพ์ หากคุณทำตามคำขอมังงะเรื่องเดียวจบหลายเรื่อง คุณอาจถูกขอให้สร้างซีรีส์ ด้วยเหตุนี้ จึงเป็นความคิดที่ดีที่จะเอาใจผู้จัดพิมพ์<br>ฝึกทักษะของคุณเพื่อที่คุณจะได้  สามารถวาดการ์ตูนที่น่าตื่นตาตื่นใจได้ทุกวัน การฝึกอบรมเชื่อมโยงโดยตรงกับการปรับปรุงคุณภาพของมังงะของคุณ<br>เมื่อมังงะของคุณได้รับการจัดลำดับแล้ว ให้พยายามพัฒนาอันดับ รับพล็อตพล็อตและใช้เพื่อวางแผนเพื่อให้คุณวาดได้ดีที่สุด  มังงะที่โลกเคยเห็น!"
"#00407","เกี่ยวกับรางวัล"
"#00408","▼เกี่ยวกับรางวัล<br>รางวัลมีสามประเภท ได้แก่ Newbie Award, Series Award และ Publisher's Prize<br><br>""Newbie Award"" เป็นรางวัลสำหรับคนรุ่นใหม่  มังงะที่ได้รับคัดเลือกให้ตีพิมพ์โดยสำนักพิมพ์ที่มีชื่อเสียง<br><br>"รางวัลซีรีส์"" เป็นรางวัลสำหรับซีรีส์ที่ดำเนินมาอย่างยาวนาน<br><br>"รางวัลผู้จัดพิมพ์" คือ  มอบรางวัลปีละ 6 ครั้ง ทุกๆ 2 เดือน เป็นรางวัลสำหรับซีรีส์ที่มีอันดับความนิยมสูงและมีต่อเนื่อง ณ เวลาที่มอบรางวัล <br><br>และเป็นรางวัลเดียวที่มี  .. อันที่จริง... มีข่าวลือเรื่องคนอื่นด้วย...”
"#00409","เกี่ยวกับพารามิเตอร์"
"#00410","▼เกี่ยวกับพารามิเตอร์<br>พล็อตพ้อยท์ - ใช้สิ่งเหล่านี้เพื่อเพิ่มเสน่ห์ให้กับการ์ตูนของคุณ<br>พลังงาน - สิ่งนี้จะสิ้นเปลืองเมื่อคุณวาดหรือออกไปหาแรงบันดาลใจ<br>ภาระงาน - ยิ่งสูง  ยิ่งคุณวาดได้เร็วเท่าไหร่<br>การวาดภาพ - ยิ่งดีเท่าไร งานศิลปะของคุณก็ยิ่งน่าพอใจและเข้าใจง่ายมากขึ้นเท่านั้น<br>สถานการณ์จำลอง - ส่งผลต่อการเล่าเรื่องของคุณได้ดีเพียงใด<br>เสน่ห์ - ส่งผลต่อประเภทใด  ตัวละครที่คุณสร้างขึ้น<br>ความเป็นต้นฉบับ - ยิ่งสูง บุคลิกของคุณเองก็จะเข้าสู่มังงะมากขึ้นเท่านั้น"
"#00411","เกี่ยวกับคะแนนมังงะ"
